name,cumulative_distance_km
A'Pura New Tow,202.06
Agbopura,251.96
Ahangama,134.17
Ahungalla,73.99
Airport - Katuna,33.44
Akurala,87.83
Alawathupitiya,26.50
Alawwa,65.67
Aluthgama,59.67
Aluthoya,245.31
Ambalangoda,83.14
Ambanpola,150.26
Ambepussa,56.22
Ambewela,221.50
Anawilundawa,99.69
Andadola,79.74
Angampitiya,40.04
Angulana,15.95
Anuradhapura,204.94
Arachchikattuw,96.15
Araviyanagar,320.00
Arukwatta,38.74
Avissawella,61.18
Awkana,176.08
Badulla,292.39
Balana,101.07
Balapitiya,78.21
Bambalapitiya,5.13
Bandarawela,259.15
Bangadeniya,91.69
Baselin Road,3.78
Baththuluoya,101.93
Baticaloa,349.69
Batuwatta,19.08
Beliatta,183.23
Bemmulla,31.91
Bentota,60.97
Beruwala,54.33
Bmbarenda,170.06
Bolawatta,48.88
Boralessa,51.38
Bothale,54.43
Bujjomuwa,61.87
Bulugahagoda,20.73
Bussa,105.74
Chawakachcher,379.99
Chilaw,82.46
China Bay,290.31
Chunnakam,405.24
Colombo Fort,0.00
Cotta Road,5.45
Daraluwa,29.92
Dehiwala,9.97
Dematagoda,3.67
Demodara,277.72
Dewapuram,330.10
Diyathalawa,253.08
Dodanduwa,101.53
Egoda Uyana,22.57
Eliphant Pass,342.76
Ella,271.59
Eluthumattuwal,365.11
Enderamulla,11.70
Eravur,337.15
Galboda,152.86
Galgamuwa,160.24
Galle,113.89
Gallella,264.12
Galoya Inc,226.68
Gammana,43.10
Gampaha,27.54
Gampola,126.93
Ganegoda,46.21
Ganemulla,22.52
Ganewatta,116.72
Gangoda,93.81
Gelioya,119.54
Gintota,108.31
Girambe,79.29
Godagama,30.12
Great Western,199.31
Habaraduwa,127.39
Habarana,210.24
Hali Ela,286.60
Haputale,247.97
Hathares Kotuw,223.30
Hatton,174.91
Heeloya,265.37
Heen - Patti,35.67
Hettimulla,56.52
Hikkaduwa,95.14
Hingurakgoda,243.76
Hiriyala,123.46
Homagama,26.51
Horape,14.04
Horiwila,199.27
Hospital-Homag,24.30
Hunupitiya,10.03
Idalgashinna,240.56
Ihala Kotte,96.08
Ihala Watawala,165.31
Induruwa,64.95
Industrial Zone,32.33
Inguruoya,147.31
Inuvil,402.92
Irattaperiyakula,249.04
Irukkulampiddi,128.90
Ja-Ela,22.15
Jaffna,395.83
Jayanthipura,249.07
Kadadasi Nagar,315.77
Kadigamuwa,90.24
Kadugannawa,105.54
Kadugoda,48.67
Kahawe,89.30
Kakkapalliya,76.42
Kalawewa,179.28
Kalkuda,322.04
Kamburugamuv,151.36
Kandana,18.83
Kandegoda,81.46
Kandy,120.74
Kankasnthurai,413.29
Kantale,256.38
Kapuwatta,20.56
Kathaluwa,131.29
Katugastota,126.29
Katugoda,118.28
Katukurunda,44.68
Katunayake,32.45
Katutara North,39.88
Katutara South,41.87
Kattuwa,42.14
Keenawala,41.63
Kekanadura,163.17
Kekirawa,188.45
Kelaniya,6.87
Kilinochchi,330.32
Kinigama,261.45
Kirulapana,9.26
Kithal Ella,269.73
Kochchikade,45.05
Kodikamam,372.68
Koggala,129.11
Kokavil,398.64
Kollupitiya,3.12
Kompannavidiya,1.73
Kondavil,400.40
Konwewa,149.06
Koralawella,20.74
Kosgama,51.34
Kosgoda,71.08
Koshinna,117.36
Kotagala,179.97
Kottawa,21.31
Kudahakapola,25.18
Kudawewa,67.78
Kumarakanda,99.60
Kumbalgama,139.20
Kurana,35.31
Kurunegala,95.27
Laksha Uyana,252.15
Liyanagemulla,30.12
Lunawa,17.37
Lunuwila,54.35
Madampe,72.00
Madampagama,85.87
Madu Road,273.91
Madurankuliya,121.67
Magalegoda,34.16
Maggona,51.16
Maha Induruwa,67.64
Mahaiyawa,122.40
Maharagama,16.36
Maho Jnc,138.59
Makumbura,22.50
Mallakam,406.99
Manampitiya,269.58
Mangalaeliya,116.73
Mankulam,299.56
Mannar,309.98
Manuwangama,88.83
Maradana,1.90
Matale,148.61
Matara,156.82
Mathottam,295.08
Mavittapuram,411.13
Medagama,221.20
Medawachchiya,230.92
Medigama,137.67
Meegammana,130.69
Megoda,31.64
Mesalai,376.02
Mihintale,219.94
Mihintale Inc,206.44
Minneriya,236.14
Mirigama,50.27
Mirissa,147.56
Mirusuwil,369.78
Mollipothana,268.49
Moragollagama,159.94
Morakele,43.90
Moratuwa,18.96
Mount Lavinia,12.22
Mundalama,109.77
Murukandi,316.43
Murukkan,286.74
Muthtettugala,97.76
Nagollagama,129.05
Nailiya,91.67
Nanuoya,207.06
Narahenpita,7.52
Naththandiya,62.20
Navalapitiya,141.52
Navatkuli,388.64
Navinna,15.19
Negama,171.81
Negambo,38.85
Nelumpokuna,70.69
Neriyakulam,243.70
Noor Nagar,139.10
Nugegoda,11.05
Ohiya,231.64
Omanthei,267.13
Padukka,37.18
Palai,357.72
Palavi,130.47
Pallethalawinna,127.66
Pallewela,43.91
Palugaswewa,203.20
Panagoda,28.29
Panadura,26.26
Panaliya,77.87
Pannipitiya,19.01
Paranthan,335.75
Parasangaswew,217.73
Pathegamgoda,76.11
Pathanpaha,137.42
Pattipola,224.93
Payagala North,48.05
Payagala South,49.26
Pengiriwatta,12.60
Peradeniya Jnc,114.85
Perakum Uyana,254.47
Perakumpura,212.21
Peralanda,17.08
Pesalai,324.91
Piliduwa,158.39
Pilimathalawa,109.45
Pinnawala,42.05
Pinwatta,29.48
Piyadigama,109.98
Piyagama,72.52
Polgahawela,73.83
Polonnaruwa,259.70
Polwathumoda,146.26
Pothuhera,86.27
Pulichchakulam,106.20
Puliyankulama,278.31
Punani,301.51
Punewa,237.65
Pungankulam,393.66
Puttalam,135.12
Puwakpitiya,57.47
Radella,202.71
Ragama,15.55
Rambukkana,84.44
Ranamukgama,155.96
Randenigama,141.92
Rathgama,102.56
Ratmalana,14.02
Richmond Hill,111.42
